Dish,Recipe
Dosa,https://www.indianhealthyrecipes.com/?s=Dosa
Gulab Jamun,https://www.indianhealthyrecipes.com/gulab-jamun-recipe-using-milk-powder/
Idly,https://www.indianhealthyrecipes.com/soft-idli-recipe-using-idli-rava/
Rice,https://www.indianhealthyrecipes.com/?s=Rice
Vada,https://www.indianhealthyrecipes.com/?s=vada
Vada_pav,https://www.indianhealthyrecipes.com/vada-pav-recipe/
french_fries,https://www.indianhealthyrecipes.com/french-fries/
pizza,https://www.indianhealthyrecipes.com/pizza-recipe-make-pizza/
